ticker
LKOH
SBER
GAZP
TATN
T
NVTK
YDEX
PLZL
GMKN
X5
ROSN
SBERP
SNGS
SNGSP
PIKK
CHMF
MOEX
NLMK
IRAO
MTSS
HEAD
VTBR
RUAL
TATNP
AFLT
RTKM
ALRS
PHOR
MAGN
SVCB
CBOM
AFKS
TRNFP
VKCO
BSPB
ENPG
POSI
FLOT
MDMG
RENI
MSNG
UGLD
UPRO
