==================================================
СКРИПТ: # Пример использования moex.py
ЗАПУСК: 2026-02-06 21:50:51
==================================================
2026-02-06 22:21:36 | INFO     | moex.py:34 | all_instruments_info | Загрузка данных: STOCK...
2026-02-06 22:21:36 | DEBUG    | connectionpool.py:1049 | urllib3.connectionpool_new_conn | Starting new HTTPS connection (1): iss.moex.com:443
2026-02-06 22:21:37 | DEBUG    | connectionpool.py:544 | urllib3.connectionpool_make_request | https://iss.moex.com:443 "GET /iss/engines/stock/markets/shares/boards/TQBR/securities.json?iss.only=securities%2Cmarketdata&iss.meta=off&securities.columns=SECID%2CSHORTNAME%2CISIN%2CLOTSIZE%2CCURRENCYID&marketdata.columns=SECID%2CLAST%2CISSUECAPITALIZATION HTTP/1.1" 200 None
2026-02-06 22:21:37 | DEBUG    | moex.py:55 | all_instruments_info | Запрос к https://iss.moex.com/iss/engines/stock/markets/shares/boards/TQBR/securities.json выполнен успешно. Статус: 200
2026-02-06 22:21:37 | DEBUG    | moex.py:73 | all_instruments_info | Данные для stock успешно загружены и объединены.
2026-02-06 22:21:37 | INFO     | moex.py:34 | all_instruments_info | Загрузка данных: ETF...
2026-02-06 22:21:37 | DEBUG    | connectionpool.py:1049 | urllib3.connectionpool_new_conn | Starting new HTTPS connection (1): iss.moex.com:443
2026-02-06 22:21:38 | DEBUG    | connectionpool.py:544 | urllib3.connectionpool_make_request | https://iss.moex.com:443 "GET /iss/engines/stock/markets/shares/boards/TQTF/securities.json?iss.only=securities%2Cmarketdata&iss.meta=off&securities.columns=SECID%2CSHORTNAME%2CISIN%2CLOTSIZE%2CCURRENCYID&marketdata.columns=SECID%2CLAST%2CISSUECAPITALIZATION HTTP/1.1" 200 None
2026-02-06 22:21:38 | DEBUG    | moex.py:55 | all_instruments_info | Запрос к https://iss.moex.com/iss/engines/stock/markets/shares/boards/TQTF/securities.json выполнен успешно. Статус: 200
2026-02-06 22:21:38 | DEBUG    | moex.py:73 | all_instruments_info | Данные для etf успешно загружены и объединены.
2026-02-06 22:21:38 | INFO     | moex.py:34 | all_instruments_info | Загрузка данных: BOND...
2026-02-06 22:21:38 | DEBUG    | connectionpool.py:1049 | urllib3.connectionpool_new_conn | Starting new HTTPS connection (1): iss.moex.com:443
2026-02-06 22:21:39 | DEBUG    | connectionpool.py:544 | urllib3.connectionpool_make_request | https://iss.moex.com:443 "GET /iss/engines/stock/markets/bonds/boards/TQCB/securities.json?iss.only=securities%2Cmarketdata&iss.meta=off&securities.columns=SECID%2CSHORTNAME%2CISIN%2CLOTSIZE%2CCURRENCYID%2CCOUPONVALUE&marketdata.columns=SECID%2CLAST HTTP/1.1" 200 None
2026-02-06 22:21:40 | DEBUG    | moex.py:55 | all_instruments_info | Запрос к https://iss.moex.com/iss/engines/stock/markets/bonds/boards/TQCB/securities.json выполнен успешно. Статус: 200
2026-02-06 22:21:40 | DEBUG    | moex.py:73 | all_instruments_info | Данные для bond успешно загружены и объединены.
2026-02-06 22:21:40 | INFO     | moex.py:34 | all_instruments_info | Загрузка данных: OFZ...
2026-02-06 22:21:40 | DEBUG    | connectionpool.py:1049 | urllib3.connectionpool_new_conn | Starting new HTTPS connection (1): iss.moex.com:443
